76 ITERATION. BEST CHROMOSOMES:Chromosome:     37 | Fitness: 2.887228
77 ITERATION. BEST CHROMOSOMES:Chromosome:     11 | Fitness: 2.887228
78 ITERATION. BEST CHROMOSOMES:Chromosome:     11 | Fitness: 2.887228
79 ITERATION. BEST CHROMOSOMES:Chromosome:     11 | Fitness: 2.887228
80 ITERATION. BEST CHROMOSOMES:Chromosome:     11 | Fitness: 2.887228
81 ITERATION. BEST CHROMOSOMES:Chromosome:     11 | Fitness: 2.887228
82 ITERATION. BEST CHROMOSOMES:Chromosome:     11 | Fitness: 2.887228
83 ITERATION. BEST CHROMOSOMES:Chromosome:     11 | Fitness: 2.887228
84 ITERATION. BEST CHROMOSOMES:Chromosome:     11 | Fitness: 2.887228
85 ITERATION. BEST CHROMOSOMES:Chromosome:     11 | Fitness: 2.887228
86 ITERATION. BEST CHROMOSOMES:Chromosome:     11 | Fitness: 2.887228
87 ITERATION. BEST CHROMOSOMES:Chromosome:     11 | Fitness: 2.887228
88 ITERATION. BEST CHROMOSOMES:Chromosome:     11 | Fitness: 2.887228
89 ITERATION. BEST CHROMOSOMES:Chromosome:     28 | Fitness: 2.887228
90 ITERATION. BEST CHROMOSOMES:Chromosome:     28 | Fitness: 2.887228
91 ITERATION. BEST CHROMOSOMES:Chromosome:     28 | Fitness: 2.887228
92 ITERATION. BEST CHROMOSOMES:Chromosome:     28 | Fitness: 2.887228
93 ITERATION. BEST CHROMOSOMES:Chromosome:     28 | Fitness: 2.887228
94 ITERATION. BEST CHROMOSOMES:Chromosome:     28 | Fitness: 2.887228
95 ITERATION. BEST CHROMOSOMES:Chromosome:     28 | Fitness: 2.887228
96 ITERATION. BEST CHROMOSOMES:Chromosome:     28 | Fitness: 2.887228
97 ITERATION. BEST CHROMOSOMES:Chromosome:     28 | Fitness: 2.887228
98 ITERATION. BEST CHROMOSOMES:Chromosome:     28 | Fitness: 2.887228
99 ITERATION. BEST CHROMOSOMES:Chromosome:     28 | Fitness: 2.887228
